Feature,Skewness
f0,-2.403
f1,-2.275
f4,-2.538
f5,-2.552
f8,-2.904
f9,-2.884
f10,-2.923
f11,-2.087
f12,-2.000
f22,5.150
f23,-2.694
f24,-3.098
f27,206.827
f28,226.154
f33,-20.338
f36,20.344
f37,-2.460
f38,3.008
f39,3.502
f40,2.899
f41,-3.162
f44,2.521
f45,-2.521
f48,-2.798
f49,-2.766
f50,-2.934
f51,-2.905
f52,-2.964
f53,-2.203
f54,-2.158
f55,-2.138
f65,160.578
f68,20.341
f69,532.528
f70,2.680
f73,-2.883
f74,-3.187
f78,-3.224
f79,-6.034
f81,-2.992
f82,-3.232
f83,-6.151
f86,-6.044
f87,-6.046
f91,15.928
f92,15.917
f95,-2.506
f96,59.653
f100,6.725
f103,24.121
f104,24.264
f107,6.105
f108,30.094
f110,3.472
f129,-2.417
f130,-2.226
f132,2.309
f133,-2.774
f134,-5.613
f135,-9.620
f136,-4.981
f138,-2.417
f139,823.399
f142,580.564
f143,-20.245
f145,-504.002
f146,20.179
f147,2.194
f148,-2.194
f151,-3.095
f152,-3.079
f155,-2.344
f157,-2.812
f159,-2.050
f161,7.278
f162,693.942
f164,-51.156
f165,20.242
f174,-3.092
f175,218.896
f176,6.298
f178,853.258
f179,22.334
f182,-3.125
f183,-3.070
f187,-2.555
f188,24.246
f189,22.427
f192,2.642
f193,471.424
f196,-334.699
f197,210.969
f200,20.592
f201,22.045
f205,34.184
f206,-31.708
f208,-2.840
f209,9.533
f214,2.558
f218,2.529
f220,-89.429
f222,-3.078
f228,-2.773
f360,276.829
f361,3.922
f362,3.440
f363,5.785
f364,3.475
f365,33.687
f366,41.377
f367,55.872
f368,55.872
f369,41.377
f370,41.377
f371,55.872
f372,55.872
f373,55.872
f374,55.872
f375,55.872
f376,55.872
f377,55.872
f450,2.925
f451,77.872
f452,2.925
f453,3.001
f454,2.925
f455,2.925
f456,2.991
f457,5.394
f458,6.639
f459,5.552
f460,2.927
f461,2.925
f462,2.925
